projectID,taskID,taskName,status,deadline
1,1,Compile weekly partner agreements for Q2,complete,2020-07-06
1,2,Finalize cross-team dependencies for HR for Q2,complete,2020-06-29
1,3,Prepare capital expenditure requests for Marketing for Q1,approved,2020-06-29
1,4,Prioritize travel requests (internal),in progress,2020-04-19
1,5,Monitor monthly equipment orders — draft,complete,2020-04-03
1,6,Plan scope change requests for Marketing with finance,complete,2020-04-26
1,7,Submit current hiring requisitions for leadership review,in progress,2020-04-01
1,8,Complete partner agreements for Q1,complete,2020-05-07
2,1,Monitor stakeholder feedback for HR before Friday,in progress,2023-10-04
2,2,Outline training materials for Marketing with legal,approved,2023-11-28
2,3,Submit weekly hiring requisitions — draft,in progress,2023-07-17
2,4,Analyze timesheets for Finance for Q1,approved,2023-10-27
2,5,Document compliance checklists for Marketing with HR,in review,2024-03-02
2,6,Review client proposals for Marketing with legal,in review,2024-04-29
2,7,Prepare benefits enrollment for HR for Q4,approved,2023-11-17
2,8,Verify upcoming scope change requests for Q3,in review,2024-04-13
3,1,Approve invoice approvals for Q1,in progress,2028-01-12
3,2,Audit purchase orders for Sales this sprint,in progress,2027-08-13
3,3,Publish incident reports for Q2,approved,2026-08-15
3,4,Finalize monthly the quarterly budget for Q3,approved,2027-02-17
3,5,Archive scope change requests for Engineering for Q1,complete,2026-08-04
3,6,Complete current capital expenditure requests for Q1,in review,2028-03-01
3,7,Prioritize pending handoff documentation before Friday,approved,2027-06-18
3,8,Reconcile purchase orders before Friday,approved,2028-01-18
4,1,Prepare invoice approvals for Engineering with legal,in progress,2021-08-10
4,2,Audit marketing briefs for Finance for Q4,overdue,2021-09-17
4,3,Complete vendor contracts,in review,2021-09-29
4,4,Plan travel requests for Sales,complete,2021-06-26
4,5,Complete cross-team dependencies with HR,in review,2021-08-05
4,6,Collect pending incident reports for Q4,in progress,2021-06-21
4,7,Submit monthly policy updates before Friday,complete,2021-12-04
4,8,Organize cross-team dependencies for Marketing for leadership review,complete,2021-09-05
5,1,Verify current scope change requests for Q4,overdue,2025-03-08
5,2,Compile invoice approvals for Engineering with finance,in review,2025-04-04
5,3,Summarize equipment orders for HR for Q4,overdue,2025-03-17
5,4,Archive monthly partner agreements for Q1,overdue,2025-02-21
5,5,Reconcile current release notes for leadership review,in progress,2025-02-20
5,6,Implement client proposals for Q4,approved,2025-03-27
5,7,Audit pending benefits enrollment for Q4,overdue,2025-02-14
5,8,Approve data backups with finance,complete,2025-03-01
6,1,Reconcile partner agreements,in progress,2019-02-23
6,2,Outline current meeting notes for Q1,approved,2019-02-23
6,3,Document current timesheets with legal,complete,2019-03-02
6,4,Document facility access requests — draft,in review,2019-05-23
6,5,Monitor weekly cross-team dependencies (internal),approved,2019-04-01
6,6,Collect current sales forecasts for Q4,complete,2019-04-15
6,7,Implement expense reports for Marketing for Q4,complete,2019-05-10
6,8,Summarize software licenses before Friday,in review,2019-02-25
7,1,Coordinate monthly department KPIs — draft,in review,2025-03-08
7,2,Prepare hiring requisitions for Q1,complete,2024-12-28
7,3,Summarize monthly scope change requests for Q3,approved,2024-11-19
7,4,Analyze monthly policy updates for leadership review,in progress,2025-02-06
7,5,Monitor current release notes for Q1,approved,2024-12-10
7,6,Schedule inventory counts for Operations for leadership review,in progress,2024-12-28
7,7,Collect compliance checklists for HR for Q2,approved,2025-02-11
7,8,Analyze inventory counts with HR,in review,2024-11-09
8,1,Finalize current meeting notes for Q2,approved,2025-10-19
8,2,Outline stakeholder feedback for Finance for Q2,in review,2025-02-07
8,3,Submit current customer surveys before Friday,approved,2025-12-23
8,4,Audit cross-team dependencies for Finance for Q2,approved,2025-11-19
8,5,Plan security assessments for HR (internal),approved,2025-01-17
8,6,Implement policy updates for Sales,complete,2025-11-03
8,7,Audit meeting notes for Q2,in progress,2025-11-21
8,8,Implement upcoming the quarterly budget for Q4,in review,2025-02-04
9,1,Publish upcoming data backups this sprint,complete,2022-01-11
9,2,Collect security assessments for Marketing for Q3,complete,2021-10-21
9,3,Monitor timesheets for Q2,complete,2021-10-28
9,4,Organize software licenses (internal),complete,2021-12-15
9,5,Update current customer surveys with legal,in review,2021-12-30
9,6,Outline customer surveys with finance,in review,2021-12-04
9,7,Submit inventory counts for Engineering — follow-up,overdue,2021-12-30
9,8,Prioritize meeting notes for Q1,approved,2022-01-03
10,1,Analyze monthly payroll exceptions for Q1,in progress,2021-03-17
10,2,Complete scope change requests for Engineering for Q3,approved,2021-04-09
10,3,Summarize annual reviews for HR (internal),in review,2021-08-12
10,4,Compile audit findings for Finance for leadership review,approved,2021-06-19
10,5,Compile weekly performance goals for Q1,complete,2021-06-21
10,6,Collect monthly annual reviews,complete,2021-03-24
10,7,Publish department KPIs — draft,complete,2021-05-23
10,8,Document security assessments this sprint,approved,2021-07-06
11,1,Track upcoming invoice approvals for leadership review,in review,2027-05-13
